user_id,artist_id,artist_name,long_rank,medium_rank,short_rank,appears_long_term,appears_medium_term,appears_short_term,churned_artist,rank_change_long_to_medium,historical_best_rank,historical_avg_rank,historical_presence_count,is_long_only,is_medium_only,is_present_in_both_historical_windows,long_rank_score,medium_rank_score,historical_affinity_score
15e7dff19830,2jSGzJw0ebJLu7OLVSOcBP,Plan B,49,999,999,1,0,0,1,999,49,49.0,1,1,0,0,0.04,0.0,0.04
15e7dff19830,6R26kGib2ubbZJMh7kKVGV,Bibi Babydoll,50,999,999,1,0,0,1,999,50,50.0,1,1,0,0,0.02,0.0,0.02
15e7dff19830,53kUGCuekuXoSYPISirZpl,Ziahfyah,999,6,17,0,1,1,0,999,6,6.0,1,0,1,0,0.0,0.9,0.9
15e7dff19830,3sGAu5R982Tf4ZuU2JfV55,Elysian Fields,999,7,9,0,1,1,0,999,7,7.0,1,0,1,0,0.0,0.88,0.88
15e7dff19830,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,999,11,999,0,1,0,1,999,11,11.0,1,0,1,0,0.0,0.8,0.8
15e7dff19830,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,999,12,7,0,1,1,0,999,12,12.0,1,0,1,0,0.0,0.78,0.78
15e7dff19830,1GImnM7WYVp95431ypofy9,Caifanes,999,17,6,0,1,1,0,999,17,17.0,1,0,1,0,0.0,0.68,0.68
15e7dff19830,0G7A5LzQAs2egiQl7hO5tV,Virus,999,22,999,0,1,0,1,999,22,22.0,1,0,1,0,0.0,0.58,0.58
15e7dff19830,2zRt0sfxNnqI8gLR7d8gWt,She Wants Revenge,999,24,999,0,1,0,1,999,24,24.0,1,0,1,0,0.0,0.54,0.54
15e7dff19830,700c9Qz2z6HZKTumeliKAw,LONOWN,999,25,5,0,1,1,0,999,25,25.0,1,0,1,0,0.0,0.52,0.52
15e7dff19830,3I0qU1hrivov2bftDy8xe1,8mm,999,29,999,0,1,0,1,999,29,29.0,1,0,1,0,0.0,0.44,0.44
15e7dff19830,4ClsVDy2g7RKSSlvq8cF6d,León Larregui,999,31,999,0,1,0,1,999,31,31.0,1,0,1,0,0.0,0.4,0.4
15e7dff19830,5yqxD8W7WnMJQZeoBU0Q66,Dj Bountyhunter,999,32,999,0,1,0,1,999,32,32.0,1,0,1,0,0.0,0.38,0.38
15e7dff19830,0TnOYISbd1XYRBk9myaseg,Pitbull,999,35,999,0,1,0,1,999,35,35.0,1,0,1,0,0.0,0.32,0.32
15e7dff19830,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,999,38,999,0,1,0,1,999,38,38.0,1,0,1,0,0.0,0.26,0.26
15e7dff19830,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,999,39,999,0,1,0,1,999,39,39.0,1,0,1,0,0.0,0.24,0.24
15e7dff19830,2sSGPbdZJkaSE2AbcGOACx,The Marías,999,40,999,0,1,0,1,999,40,40.0,1,0,1,0,0.0,0.22,0.22
15e7dff19830,3q1NXsv9XypOUCJfEatXH9,Pescado Rabioso,999,41,999,0,1,0,1,999,41,41.0,1,0,1,0,0.0,0.2,0.2
15e7dff19830,63sUDHUqfA3nnI6cObrFsd,$undown,999,42,18,0,1,1,0,999,42,42.0,1,0,1,0,0.0,0.18,0.18
15e7dff19830,7kWsBaNC6mQlyMq4csfQMJ,VIP,999,43,999,0,1,0,1,999,43,43.0,1,0,1,0,0.0,0.16,0.16
15e7dff19830,1bZNv4q3OxYq7mmnLha7Tu,Fito Paez,999,45,11,0,1,1,0,999,45,45.0,1,0,1,0,0.0,0.12,0.12
15e7dff19830,1gALaWbNDnwS2ECV09sn2A,Nightcrawlers,999,46,999,0,1,0,1,999,46,46.0,1,0,1,0,0.0,0.1,0.1
15e7dff19830,4DFb3uFxOl0R1mZBmUPGvi,DJ DELACROIX,999,48,999,0,1,0,1,999,48,48.0,1,0,1,0,0.0,0.06,0.06
15e7dff19830,4TK1gDgb7QKoPFlzRrBRgR,Los Enanitos Verdes,999,49,16,0,1,1,0,999,49,49.0,1,0,1,0,0.0,0.04,0.04
15e7dff19830,6byQKddO1b34lXC2ZEjehQ,Patricio Rey y sus Redonditos de Ricota,999,50,999,0,1,0,1,999,50,50.0,1,0,1,0,0.0,0.02,0.02
19c73ab40cc6,7gW0r5CkdEUMm42w9XpyZO,Laufey,1,3,7,1,1,1,0,2,1,2.0,2,0,0,1,1.0,0.96,0.98
19c73ab40cc6,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2,1,1,1,1,1,0,-1,1,1.5,2,0,0,1,0.98,1.0,0.99
19c73ab40cc6,1bAftSH8umNcGZ0uyV7LMg,Duki,3,8,999,1,1,0,1,5,3,5.5,2,0,0,1,0.96,0.86,0.9099999999999999
19c73ab40cc6,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,4,7,22,1,1,1,0,3,4,5.5,2,0,0,1,0.94,0.88,0.9099999999999999
19c73ab40cc6,246dkjvS1zLTtiykXe5h60,Post Malone,5,6,999,1,1,0,1,1,5,5.5,2,0,0,1,0.92,0.9,0.91
19c73ab40cc6,3TVXtAsR1Inumwj472S9r4,Drake,6,4,15,1,1,1,0,-2,4,5.0,2,0,0,1,0.9,0.94,0.9199999999999999
19c73ab40cc6,4LLpKhyESsyAXpc4laK94U,Mac Miller,7,5,4,1,1,1,0,-2,5,6.0,2,0,0,1,0.88,0.92,0.9
19c73ab40cc6,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,8,2,11,1,1,1,0,-6,2,5.0,2,0,0,1,0.86,0.98,0.9199999999999999
19c73ab40cc6,5YCc6xS5Gpj3EkaYGdjyNK,WOS,9,10,6,1,1,1,0,1,9,9.5,2,0,0,1,0.84,0.82,0.83
19c73ab40cc6,06HL4z0CvFAxyc27GXpf02,Taylor Swift,10,28,999,1,1,0,1,18,10,19.0,2,0,0,1,0.82,0.46,0.64
19c73ab40cc6,716NhGYqD1jl2wI1Qkgq36,Bizarrap,11,24,13,1,1,1,0,13,11,17.5,2,0,0,1,0.8,0.54,0.67
19c73ab40cc6,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,12,9,8,1,1,1,0,-3,9,10.5,2,0,0,1,0.78,0.84,0.81
19c73ab40cc6,37MCoi4pcUf9EKsPXeuCqU,Tan Bionica,13,999,999,1,0,0,1,999,13,13.0,1,1,0,0,0.76,0.0,0.76
19c73ab40cc6,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,14,39,999,1,1,0,1,25,14,26.5,2,0,0,1,0.74,0.24,0.49
19c73ab40cc6,4cJD9t5QBFTUQcd3xfbOb2,Dillom,15,18,999,1,1,0,1,3,15,16.5,2,0,0,1,0.72,0.66,0.69
